id,name,type,category,tier,lore,damage_base,damage_per_tier,speed_base,speed_per_tier,combo_base,combo_per_tier,crit_base,crit_per_tier,block_base,block_per_tier,defense_base,defense_per_tier,ability1_name,ability1_tooltip,ability1_cooldown,ability1_mana,ability1_damage,ability1_effect,ability2_name,ability2_tooltip,ability2_cooldown,ability2_mana,ability2_damage,ability2_effect,ability3_name,ability3_tooltip,ability3_cooldown,ability3_mana,ability3_damage,ability3_effect,ability4_name,ability4_tooltip,ability4_cooldown,ability4_mana,ability4_damage,ability4_effect,passive1_name,passive1_desc,passive1_value,passive2_name,passive2_desc,passive2_value,passive3_name,passive3_desc,passive3_value,crafted_by,sprite,craft_time,materials
t0-sword-rusty,Rusty Sword,Sword,1h,0,"A worn blade, barely sharp enough to cut bread.",15,0,80,0,0,0,1,0,2,0,5,0,Basic Slash,A simple slash attack dealing weapon damage. Generates 1 combo point.,0,0,100% weapon damage,Generates 1 combo point,Quick Strike,A fast attack that deals reduced damage but has a short cooldown. Good for building combo points quickly.,3,5,80% weapon damage,Generates 2 combo points,,,0,0,,,,,0,0,,,Worn Edge,Deals 5% less damage due to dull blade,-5,,,0,,,0,Miner,/2dassets/sprites/sword/rusty-sword.png,5,scrap-metal:2;wood-stick:1
t0-axe-chipped,Chipped Axe,Axe,1h,0,A woodcutter's axe past its prime.,18,0,90,0,0,0,1,0,1,0,4,0,Chop,A heavy chop dealing weapon damage. Has a chance to apply bleed.,0,0,110% weapon damage,10% chance to apply 1 bleed stack,Rending Blow,A forceful strike that applies bleed to the target.,5,8,90% weapon damage,Applies 1 bleed stack (3s duration),,,0,0,,,,,0,0,,,Splintered,5% chance attacks miss due to chipped edge,5,,,0,,,0,Miner,/2dassets/sprites/axe/chipped-axe.png,5,scrap-metal:3;wood-stick:1
t0-dagger-blunt,Blunt Dagger,Dagger,1h,0,More of a butter knife than a weapon.,12,0,60,0,10,0,3,0,1,0,3,0,Stab,A quick stab attack. Fast attack speed makes up for low damage.,0,0,90% weapon damage,Generates 2 combo points,Backstab,Deals bonus damage when attacking from behind.,4,6,120% weapon damage (200% from behind),Bonus crit chance from behind,,,0,0,,,,,0,0,,,Dull Point,Critical hits deal 10% less bonus damage,-10,,,0,,,0,Miner,/2dassets/sprites/dagger/blunt-dagger.png,3,scrap-metal:1;wood-stick:1
t0-hammer-worn,Worn Hammer,Hammer1h,1h,0,An old blacksmith's hammer repurposed for combat.,20,0,100,0,0,0,1,0,4,0,8,0,Bash,A heavy bash that deals damage and has a chance to stun.,0,0,100% weapon damage,5% chance to stun for 0.5s,Ground Pound,Slam the ground dealing AoE damage and slowing enemies.,6,10,80% weapon damage AoE,Slows enemies by 20% for 2s,,,0,0,,,,,0,0,,,Heavy Swing,Attacks are 10% slower,10,,,0,,,0,Miner,/2dassets/sprites/hammer/worn-hammer.png,6,scrap-metal:4;wood-stick:2
t0-bow-simple,Simple Bow,Bow,Ranged 2h,0,A hunting bow made from bent wood and twine.,14,0,70,0,15,0,4,0,0,0,2,0,Shoot,Fire an arrow at the target dealing weapon damage.,0,0,100% weapon damage,Range: 25m,Aimed Shot,Take careful aim for increased damage and crit chance.,5,8,150% weapon damage,"+15% crit chance, 1.5s cast time",,,0,0,,,,,0,0,,,Weak String,Range reduced by 5m,-5,,,0,,,0,Forester,/2dassets/sprites/bow/simple-bow.png,5,wood-stick:3;string:2
t0-crossbow-makeshift,Makeshift Crossbow,Crossbow,Ranged 2h,0,A crude crossbow held together with rope and hope.,18,0,85,0,10,0,3,0,1,0,3,0,Fire Bolt,Fire a crossbow bolt at the target.,0,0,100% weapon damage,"Range: 30m, slow reload",Power Shot,A powerful shot that pierces through enemies.,6,10,130% weapon damage,Pierces through first target,,,0,0,,,,,0,0,,,Unreliable,5% chance bolt jams (attack fails),5,,,0,,,0,Engineer,/2dassets/sprites/crossbow/makeshift-crossbow.png,8,wood-stick:4;scrap-metal:2;string:2
t0-gun-flintlock,Old Flintlock,Gun,Ranged 2h,0,An antique firearm that still goes bang... sometimes.,22,0,95,0,20,0,5,0,0,0,2,0,Fire,Fire a single shot. Long reload time but high damage.,0,0,120% weapon damage,"Range: 20m, 2s reload",Powder Blast,Fire an explosive shot that damages nearby enemies.,8,12,100% weapon damage + 50% AoE,3m AoE radius,,,0,0,,,,,0,0,,,Misfires,8% chance shot misfires (50% damage),8,,,0,,,0,Engineer,/2dassets/sprites/gun/old-flintlock.png,10,scrap-metal:5;wood-stick:2;gunpowder:1
t0-staff-apprentice,Apprentice Staff,Staff,Ranged 2h,0,A novice mage's first channeling focus.,16,0,65,0,50,0,3,0,0,0,4,0,Magic Bolt,Fire a bolt of arcane energy at the target.,0,5,100% magic damage,Range: 25m,Mana Spark,Releases stored mana as a damaging burst.,4,10,80% magic damage AoE,"4m radius, restores 5 mana on hit",,,0,0,,,,,0,0,,,Unstable Focus,Spells cost 10% more mana,10,,,0,,,0,Mystic,/2dassets/sprites/staff/apprentice-staff.png,8,wood-stick:3;minor-essence:2
t0-tome-tattered,Tattered Tome,Tome,Offhand,0,Pages are missing but some spells remain legible.,8,0,0,0,30,0,2,0,0,0,2,0,Minor Ward,Creates a small shield absorbing incoming damage.,10,15,,Absorbs 50 damage for 5s,Mana Transfer,Converts health into mana.,8,0,,Sacrifice 20 HP to restore 30 mana,,,0,0,,,,,0,0,,,Faded Ink,+5% spell mana cost,5,,,0,,,0,Mystic,/2dassets/sprites/tome/tattered-tome.png,6,linen-cloth:3;minor-essence:1
t0-greatsword-heavy,Heavy Iron Blade,Greatsword,2h,0,Unwieldy but packs a punch.,25,0,110,0,0,0,2,0,3,0,10,0,Heavy Slash,A slow but powerful slash in a wide arc.,0,0,130% weapon damage,Cleaves up to 3 enemies,Overhead Smash,Bring the blade down with tremendous force.,6,12,180% weapon damage,10% chance to stun for 1s,,,0,0,,,,,0,0,,,Cumbersome,Attack speed reduced by 15%,15,,,0,,,0,Miner,/2dassets/sprites/greatsword/heavy-iron-blade.png,10,scrap-metal:6;wood-stick:2
t0-greataxe-lumber,Lumber Axe,Greataxe,2h,0,Better suited for trees than enemies.,28,0,120,0,0,0,1,0,2,0,8,0,Timber Strike,A devastating swing meant for felling trees.,0,0,140% weapon damage,Applies 1 bleed stack,Cleaving Arc,Swing in a wide arc hitting all enemies in front.,7,15,110% weapon damage,Hits all enemies in a 180° arc,,,0,0,,,,,0,0,,,Forestry Tool,Not designed for combat (-5% accuracy),5,,,0,,,0,Forester,/2dassets/sprites/greataxe/lumber-axe.png,10,scrap-metal:5;wood-stick:4
t0-hammer2h-sledge,Mining Sledge,Hammer2h,2h,0,"A miner's sledgehammer, heavy and brutal.",30,0,130,0,0,0,1,0,5,0,12,0,Crush,A crushing blow that ignores some armor.,0,0,120% weapon damage,Ignores 10% of target armor,Earthquake,Slam the ground creating a shockwave.,8,18,90% weapon damage AoE,Slows all enemies hit by 30% for 3s,,,0,0,,,,,0,0,,,Exhausting,Drains 5 stamina per attack,5,,,0,,,0,Miner,/2dassets/sprites/hammer/mining-sledge.png,12,scrap-metal:7;wood-stick:3
t1-sword-bloodfeud,Bloodfeud Blade,Sword,1h,1,"Forged in endless clan blood feuds, this blade thirsts for vengeance.",50,12,100,25,0,0,3,0.5,5,1,20,6,Vengeful Slash,A fierce slash that builds Grudge Mark stacks on the target. Each stack increases your damage against them by 5%. Maximum 3 stacks.,0,0,100% weapon damage,"Applies Grudge Mark (5% damage amp per stack, max 3)",Blood Rush,"Dash forward 8 meters, dealing damage to all enemies in your path. Generates 2 Grudge Marks on each enemy hit.",12,20,120% weapon damage AoE,"Dash 8m, applies 2 Grudge Marks to each enemy hit",Iron Grudge,"Enter a defensive stance for 3 seconds, reducing incoming damage by 40% and reflecting 20% of blocked damage back to attackers.",18,25,,"40% damage reduction, 20% reflect for 3s",Crimson Reprisal,ULTIMATE: Unleash a massive AoE slash that consumes all Grudge Marks on nearby enemies. Heals you for 5% of your max HP per enemy hit. Healing doubled for enemies with 3 Grudge Marks.,45,50,200% weapon damage AoE,"Heals 5% max HP per enemy hit, 10% if 3 marks",Bloodlust,5% of damage dealt is returned as health,5,Swift Vengeance,Attack speed increased by 15%,15,Deep Cuts,Bleed damage increased by 20%,20,Miner,/2dassets/sprites/sword/bloodfeud-blade.png,30,copper-ingot:5;pine-plank:2;string:1
t1-sword-wraithfang,Wraithfang,Sword,1h,1,"Whispers forgotten grudges in the dark, striking from shadows.",55,13,80,20,20,10,5,0.8,3,0.8,15,5,Vengeful Slash,A swift slash that applies Grudge Marks. Critical hits apply 2 marks instead of 1.,0,0,100% weapon damage,Applies 1 Grudge Mark (2 on crit),Shadow Edge,"Dash through shadows 6m and emerge behind your target, stunning them for 1 second.",10,18,130% weapon damage,"Teleport behind target, 1s stun",Execute,A devastating strike that deals 50% bonus damage to targets below 30% health.,15,22,150% weapon damage (225% vs <30% HP),Execute bonus vs low HP targets,Night's Judgment,"ULTIMATE: Teleport behind the target and unleash a flurry of strikes, applying a powerful bleed that deals 300% weapon damage over 6 seconds.",50,55,180% initial + 300% bleed over 6s,Teleport + massive bleed DoT,Life Leech,Heal for 3% of damage dealt,3,Aggressive Rush,Gain 10% attack speed when Grudge Marks are active,10,Grudge Explosion,Grudge Marks explode for 20% weapon damage when consumed,20,Miner,/2dassets/sprites/sword/wraithfang.png,35,copper-ingot:6;pine-plank:2;minor-essence:1
t1-axe-gorehowl,Gorehowl,Axe,1h,1,"Howls with the gore of fallen foes, thirsting for blood in every swing.",60,15,120,30,0,0,2,0.4,4,1,25,8,Rending Chop,A brutal chop that applies Bleed stacks to the target. Each stack deals 5% weapon damage per second for 6 seconds. Maximum 5 stacks.,0,0,110% weapon damage,"Applies 1 Bleed stack (5% dmg/s for 6s, max 5)",Adrenaline Surge,Channel your rage to increase attack speed by 30% for 5 seconds. Each hit extends duration by 0.5 seconds.,15,20,,"+30% attack speed for 5s, extends on hit",Whirl of Pain,"Spin rapidly for 3 seconds, dealing damage to all nearby enemies. Each enemy hit refreshes all Bleed stacks on them.",18,30,60% weapon damage per 0.5s,"Channeled AoE, refreshes Bleeds",Apocalypse Cleave,ULTIMATE: Unleash a devastating cleave that deals massive damage and knocks back all enemies. Enemies with 5 Bleed stacks take 100% bonus damage.,45,50,250% weapon damage (500% vs 5 stacks),Large knockback AoE,Life Leech,Heal for 5% of damage dealt to bleeding targets,5,Bleed Mastery,Bleed damage increased by 25%,25,Vicious Wounds,Bleeding enemies are slowed by 15%,15,Miner,/2dassets/sprites/axe/gorehowl.png,35,copper-ingot:6;pine-plank:3
t1-bow-wraithbone,Wraithbone Bow,Bow,Ranged 2h,1,"Carved from bones of wraiths, its arrows seek the souls of the living.",55,11,80,18,30,12,6,1,2,0.5,15,4,Grudge Arrow,Fire an arrow that marks the target with Grudge. Marked targets take 10% increased damage from your abilities. Range: 30m.,0,0,100% weapon damage,Applies Grudge Mark (+10% damage taken),Volley,"Fire a cone of 5 arrows in front of you, each dealing reduced damage. Excellent for hitting multiple targets.",8,15,60% weapon damage per arrow,"5 arrows in cone, 15m range",Piercing Barrage,"Channel for 3 seconds, firing rapid arrows that pierce through all enemies in a line. Each hit increases damage by 5%.",18,35,"40% weapon damage per hit, +5% stacking","Channeled, piercing arrows",Phantom Arrows,ULTIMATE: Fire 3 spectral arrows that home in on marked targets. Each arrow deals massive damage and passes through all enemies.,50,55,200% weapon damage per arrow,"Homing, piercing, prioritizes marked",Precision,+15% critical hit chance,15,Speed Draw,+20% attack speed,20,Slow Venom,Marked targets are slowed by 20%,20,Forester,/2dassets/sprites/bow/wraithbone-bow.png,35,pine-plank:5;string:3;minor-essence:1
t1-dagger-nightfang,Nightfang,Dagger,1h,1,"Fang of endless night grudges, striking silently from the shadows.",45,10,70,15,20,10,8,1.2,2,0.5,12,3,Shadow Stab,A quick stab that builds Shadow Marks. Attacks from behind apply 2 marks. Maximum 5 marks per target.,0,0,90% weapon damage,Applies 1-2 Shadow Marks (max 5),Phantom Dash,"Dash 8m through shadows, dealing damage to all enemies in your path. Grants 2 seconds of invisibility after.",10,15,80% weapon damage,"Dash 8m, 2s invisibility",Poison Shiv,Strike with a poisoned blade dealing damage over 8 seconds. Poison stacks up to 3 times.,12,18,60% weapon damage + 120% DoT over 8s,Poison stacks to 3x,Deathgivers Fatal,"ULTIMATE: Execute a target with 5 Shadow Marks, dealing massive damage. Instantly kills targets below 15% HP.",45,50,300% weapon damage,Execute targets <15% HP,Life Leech,Heal for 4% of damage dealt,4,Crit Chance,+10% critical hit chance,10,Venomous Wounds,Poisoned enemies are slowed by 25%,25,Miner,/2dassets/sprites/dagger/nightfang.png,30,copper-ingot:4;pine-plank:1;minor-essence:1
t1-staff-fire-emberwrath,Emberwrath Staff,Fire Staff,Ranged 2h,1,"Wrath of endless burning grudges, channeling flames of vengeance.",65,15,60,12,100,40,6,1,0,0,10,3,Fire Bolt,"Launch a bolt of fire at the target, building Burn stacks. Each stack deals 3% magic damage per second. Maximum 5 stacks.",0,5,100% magic damage,"Applies 1 Burn stack (3% dmg/s, max 5)",Flame Wave,"Send a wave of fire in a cone, dealing damage and applying 2 Burn stacks to all enemies hit.",10,25,120% magic damage,"Cone AoE, applies 2 Burn stacks",Inferno Shield,Surround yourself with flames for 5 seconds. Absorb 30% of incoming damage and reflect 20% as fire damage.,20,35,,"30% absorb, 20% reflect for 5s",Flame Nova,"ULTIMATE: Explode all Burn stacks on nearby enemies, dealing 50% bonus damage per stack consumed. Applies maximum stacks to all enemies hit.",50,60,150% magic damage + 50% per Burn consumed,Consume + reapply max Burns,Burn Mastery,Burn damage increased by 30%,30,Mana Regen,+5 mana regeneration per second,5,Crit Chance,+8% critical hit chance on burning targets,8,Mystic,/2dassets/sprites/staff/emberwrath-staff.png,40,pine-plank:4;minor-essence:5
t1-staff-frost-glacial,Glacial Spire Staff,Frost Staff,Ranged 2h,1,"Spire of glacial eternal grudges, freezing enemies in their tracks.",60,14,70,15,90,35,5,0.8,2,0.5,12,4,Frost Bolt,"Fire a bolt of ice, building Chill stacks. Each stack slows the target by 10%. At 5 stacks, target is frozen for 1.5 seconds.",0,5,100% magic damage,"Applies 1 Chill stack (10% slow, freeze at 5)",Ice Nova,"Release a nova of frost around you, dealing damage and slowing all enemies by 40% for 3 seconds.",12,25,110% magic damage AoE,"40% slow for 3s, 8m radius",Glacial Shield,Create an ice barrier that absorbs damage equal to 40% of your max mana. Enemies that attack the shield are chilled.,18,30,,"Shield = 40% max mana, chills attackers",Absolute Zero,ULTIMATE: Flash freeze all enemies in a large area for 3 seconds. Frozen enemies take 50% increased damage from all sources.,60,70,100% magic damage,"3s freeze, +50% damage taken",Chill Mastery,Slow effects increased by 25%,25,Mana Regen,+4 mana regeneration per second,4,Frozen Heart,Frozen enemies take +20% crit damage,20,Mystic,/2dassets/sprites/staff/glacial-spire-staff.png,40,pine-plank:4;minor-essence:5
t1-crossbow-ironveil,Ironveil Repeater,Crossbow,Ranged 2h,1,"Rapid fire from iron veils, delivering death with mechanical precision.",65,14,70,15,20,8,5,0.8,4,1,20,6,Heavy Bolt,Fire a heavy bolt that builds Penetration stacks. Each stack ignores 5% of target armor. Maximum 4 stacks.,0,0,110% weapon damage,"Applies Penetration stack (-5% armor, max 4)",Knockback Bolt,Fire a powerful bolt that knocks the target back 6m and stuns them for 0.5 seconds.,10,18,120% weapon damage,"6m knockback, 0.5s stun",Trap Bolt,Fire a bolt that deploys a trap on impact. Enemies stepping on the trap are rooted for 2 seconds.,15,22,80% weapon damage on deploy,"Creates trap, 2s root on trigger",Sweeping Bolt,"ULTIMATE: Fire a bolt charged with energy that pierces through all enemies in a line, dealing massive damage to each.",45,50,250% weapon damage,"Pierces all enemies in line, 40m range",Penetration,Ignore 10% of target armor,10,Power Shot,+15% damage to single targets,15,Slow Bolt,Heavy Bolt slows targets by 15%,15,Engineer,/2dassets/sprites/crossbow/ironveil-repeater.png,40,copper-ingot:5;pine-plank:4;string:2
t1-gun-blackpowder,Blackpowder Blaster,Gun,Ranged 2h,1,"Blasts with ancient blackpowder grudges, explosive and devastating.",70,16,60,12,40,18,7,1.1,2,0.4,14,4,Grudge Shot,Fire a shot that builds Powder Marks. Each mark increases explosion damage by 20%. Maximum 3 marks.,0,0,120% weapon damage,"Applies Powder Mark (+20% explosion dmg, max 3)",Explosive Round,Fire an explosive round that deals AoE damage on impact. Damage increased by 20% per Powder Mark.,12,25,100% weapon damage + 50% AoE,"4m AoE, +20% per Powder Mark",Smoke Shot,Fire a smoke grenade that blinds all enemies in the area for 3 seconds. Blinded enemies have 50% reduced accuracy.,18,20,,"3s blind, 50% accuracy reduction, 6m AoE",Demon Blast,"ULTIMATE: Unleash a devastating blast that consumes all Powder Marks, dealing massive damage and knocking back all enemies.",50,55,300% weapon damage + 100% per mark consumed,"Large knockback AoE, consumes marks",Crit Shot,+12% critical hit chance,12,Powder Burn,Critical hits apply 3s burn DoT,3,Reload Speed,+15% attack speed,15,Engineer,/2dassets/sprites/gun/blackpowder-blaster.png,45,copper-ingot:6;pine-plank:3;gunpowder:2